ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms
AAPL,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,news_sentiment,miss,220.4
GOOG,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,miss,253.0
TSLA,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,miss,259.6
NVDA,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,miss,323.4
META,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,miss,246.3
COIN,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,miss,360.6
MARA,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,miss,323.4
HUT,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,miss,232.2
SOUN,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,miss,320.4
IREN,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,miss,194.0
AAPL,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,130.4
GOOG,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,105.9
TSLA,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,139.0
META,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,hit,52.5
COIN,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,hit,48.2
MARA,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,62.0
HUT,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,54.0
SOUN,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,60.3
RIOT,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,miss,215.4
IREN,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,hit,50.4
AAPL,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,51.2
GOOG,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,61.3
NVDA,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,hit,42.6
META,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,hit,44.2
COIN,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,hit,44.7
HUT,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,47.2
SOUN,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,44.4
AAPL,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,39.9
GOOG,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,47.9
TSLA,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,67.3
NVDA,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,hit,59.2
META,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,hit,48.3
COIN,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,hit,52.5
MARA,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,56.1
SOUN,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,48.2
RIOT,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,47.5
IREN,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,BUY,BUY,True,trend,hit,59.4
AAPL,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,45.4
GOOG,2026-04-07T22:15:23.866467+00:00,34,fixed_ttl,HOLD,HOLD,True,trend,hit,47.7
TSLA,2026-04-07T22:15:43.866467+00:00,35,fixed_ttl,HOLD,HOLD,True,trend,hit,63.3
NVDA,2026-04-07T22:15:43.866467+00:00,35,fixed_ttl,BUY,BUY,True,trend,hit,53.5
META,2026-04-07T22:15:43.866467+00:00,35,fixed_ttl,BUY,BUY,True,trend,hit,51.3
COIN,2026-04-07T22:15:43.866467+00:00,35,fixed_ttl,BUY,BUY,True,trend,hit,54.6
MARA,2026-04-07T22:15:43.866467+00:00,35,fixed_ttl,HOLD,HOLD,True,trend,hit,62.5
HUT,2026-04-07T22:15:43.866467+00:00,35,fixed_ttl,HOLD,HOLD,True,trend,hit,52.8
SOUN,2026-04-07T22:15:43.866467+00:00,35,fixed_ttl,HOLD,HOLD,True,trend,hit,44.3
RIOT,2026-04-07T22:15:43.866467+00:00,35,fixed_ttl,BUY,HOLD,False,trend,hit,46.4
IREN,2026-04-07T22:15:43.866467+00:00,35,fixed_ttl,BUY,BUY,True,trend,hit,67.0
