ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms
AAPL,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,HOLD,HOLD,True,news_sentiment,miss,228.5
GOOG,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,HOLD,HOLD,True,trend,miss,217.8
TSLA,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,HOLD,HOLD,True,trend,miss,307.7
NVDA,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,HOLD,HOLD,True,trend,miss,324.3
META,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,HOLD,HOLD,True,trend,miss,323.6
COIN,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,SELL,SELL,True,trend,miss,271.0
MARA,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,HOLD,HOLD,True,trend,miss,284.6
HUT,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,HOLD,HOLD,True,trend,miss,223.8
RIOT,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,HOLD,HOLD,True,trend,miss,173.1
IREN,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,BUY,BUY,True,trend,miss,188.8
AAPL,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,HOLD,HOLD,True,news_sentiment,hit,44.6
GOOG,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,HOLD,HOLD,True,trend,hit,44.7
TSLA,2026-04-07T23:19:24.781706+00:00,2,workflow_aware,HOLD,HOLD,True,trend,hit,65.4
NVDA,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,HOLD,HOLD,True,trend,hit,67.4
META,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,HOLD,HOLD,True,trend,hit,62.9
COIN,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,SELL,SELL,True,trend,hit,57.1
MARA,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,HOLD,HOLD,True,trend,hit,62.4
HUT,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,HOLD,HOLD,True,trend,hit,51.1
SOUN,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,BUY,BUY,True,trend,hit,130.8
RIOT,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,HOLD,HOLD,True,trend,hit,63.0
AAPL,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,HOLD,HOLD,True,news_sentiment,miss,158.6
GOOG,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,HOLD,HOLD,True,trend,miss,140.1
TSLA,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,HOLD,HOLD,True,trend,miss,178.8
NVDA,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,HOLD,HOLD,True,trend,miss,181.7
META,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,HOLD,HOLD,True,trend,miss,127.9
COIN,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,SELL,SELL,True,trend,miss,125.6
MARA,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,HOLD,HOLD,True,trend,miss,122.1
HUT,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,HOLD,HOLD,True,trend,miss,153.1
SOUN,2026-04-07T23:19:44.781706+00:00,3,workflow_aware,BUY,BUY,True,trend,miss,164.3
