Datetime,RIOT,MARA,NVDA,IREN,SOUN,COIN,META,HUT,AAPL,GOOG,TSLA
2026-03-24 13:30:00+00:00,14.15999984741211,8.835000038146973,174.76199340820312,41.900001525878906,6.690000057220459,199.10000610351562,599.0999755859375,52.060001373291016,250.49000549316406,296.2099914550781,376.69500732421875
2026-03-24 13:30:20+00:00,14.319999694824219,8.895000457763672,174.80999755859375,41.7400016784668,6.704999923706055,198.6199951171875,598.510009765625,52.595001220703125,250.1999969482422,295.94000244140625,379.5296936035156
2026-03-24 13:30:40+00:00,14.369999885559082,8.919899940490723,175.5399932861328,41.75,6.749899864196777,199.33999633789062,599.8599853515625,52.720298767089844,251.01010131835938,296.8800048828125,380.9800109863281
2026-03-24 13:31:00+00:00,14.399999618530273,8.949999809265137,175.6300048828125,41.755001068115234,6.771599769592285,200.5399932861328,598.1900024414062,52.7400016784668,250.86000061035156,296.69000244140625,381.6600036621094
2026-03-24 13:31:20+00:00,14.489999771118164,8.944999694824219,175.36000061035156,42.16999816894531,6.799799919128418,201.67999267578125,598.7000122070312,52.86000061035156,251.0,296.9800109863281,381.8999938964844
2026-03-24 13:31:40+00:00,14.460000038146973,8.944999694824219,175.63499450683594,42.46500015258789,6.801000118255615,201.47500610351562,599.3400268554688,53.25,251.3000030517578,297.0299987792969,383.2099914550781
2026-03-24 13:32:00+00:00,14.4399995803833,8.9350004196167,175.4600067138672,42.34000015258789,6.764999866485596,200.8699951171875,598.8400268554688,53.08000183105469,251.33999633789062,296.8800048828125,383.9601135253906
2026-03-24 13:32:20+00:00,14.456000328063965,8.90999984741211,175.2100067138672,42.41999816894531,6.724999904632568,200.33999633789062,598.030029296875,52.939998626708984,251.5,296.5249938964844,383.56988525390625
2026-03-24 13:32:40+00:00,14.470000267028809,8.920000076293945,175.10000610351562,42.540000915527344,6.735000133514404,200.3000030517578,597.760009765625,52.91999816894531,251.7949981689453,296.6300048828125,384.2749938964844
2026-03-24 13:33:00+00:00,14.430000305175781,8.914999961853027,175.4550018310547,42.400001525878906,6.735000133514404,199.1999969482422,598.4450073242188,52.83810043334961,251.44000244140625,296.80999755859375,384.6000061035156
2026-03-24 13:33:20+00:00,14.380000114440918,8.869999885559082,175.13999938964844,42.169898986816406,6.695000171661377,198.38999938964844,597.2100219726562,52.435001373291016,251.3704071044922,296.09478759765625,384.4949951171875
2026-03-24 13:33:40+00:00,14.305000305175781,8.84000015258789,174.8000030517578,41.88999938964844,6.670000076293945,197.73500061035156,596.9600219726562,52.099998474121094,251.33999633789062,295.7900085449219,383.69500732421875
2026-03-24 13:34:00+00:00,14.329999923706055,8.850000381469727,174.41070556640625,42.0,6.659999847412109,197.125,596.1799926757812,52.369998931884766,251.14999389648438,295.4100036621094,382.8800048828125
2026-03-24 13:34:20+00:00,14.305000305175781,8.904999732971191,175.02000427246094,42.16999816894531,6.684999942779541,198.64999389648438,597.1300048828125,52.439998626708984,252.02999877929688,295.4999084472656,383.8299865722656
2026-03-24 13:34:40+00:00,14.300000190734863,8.85990047454834,174.7899932861328,42.00019836425781,6.664999961853027,198.02000427246094,596.469970703125,52.34000015258789,251.7899932861328,295.0799865722656,383.82501220703125
2026-03-24 13:35:00+00:00,14.329999923706055,8.869999885559082,174.77000427246094,42.349998474121094,6.675000190734863,198.02999877929688,596.6400146484375,52.33000183105469,251.69000244140625,294.9649963378906,383.49639892578125
2026-03-24 13:35:20+00:00,14.380000114440918,8.914999961853027,174.99000549316406,42.380001068115234,6.684999942779541,198.10000610351562,596.760009765625,52.279998779296875,251.4600067138672,295.17999267578125,383.760009765625
2026-03-24 13:35:40+00:00,14.354999542236328,8.920000076293945,175.28500366210938,42.15999984741211,6.695000171661377,197.86000061035156,597.8499755859375,52.04999923706055,251.97000122070312,295.42999267578125,385.7850036621094
2026-03-24 13:36:00+00:00,14.3100004196167,8.880000114440918,175.1300048828125,41.810001373291016,6.668000221252441,196.9199981689453,596.5150146484375,51.81999969482422,252.0050048828125,295.3299865722656,385.6418151855469
2026-03-24 13:36:20+00:00,14.270000457763672,8.845000267028809,174.94000244140625,41.599998474121094,6.659900188446045,196.1300048828125,595.7999877929688,51.72999954223633,251.57000732421875,294.739990234375,383.07000732421875
